Tempo;Missile_X;Missile_Y;Missile_Z;Velocita_M_Tot;Target_X;Target_Y;Target_Z;Distanza;Drag_N;Carburante_Residuo;G_Load
0.000;2500.00;0.00;0.23;20.00;2997.00;2000.60;1500.50;2549.51;0.03;28.00;0.00
0.010;2500.00;0.00;0.49;22.84;2994.00;2001.20;1501.00;2549.55;0.04;27.90;0.00
0.020;2500.00;0.00;0.77;25.69;2991.00;2001.80;1501.50;2549.59;0.04;27.80;0.00
0.030;2500.00;0.00;1.08;28.54;2988.00;2002.40;1502.00;2549.60;0.05;27.70;0.00
0.040;2500.00;0.00;1.43;31.39;2985.00;2003.00;1502.50;2549.61;0.07;27.60;0.00
0.050;2500.00;0.00;1.80;34.25;2982.00;2003.60;1503.00;2549.60;0.08;27.50;0.03
0.060;2500.00;0.00;2.20;37.11;2979.00;2004.20;1503.50;2549.58;0.09;27.40;0.09
0.070;2500.00;0.00;2.63;39.98;2976.00;2004.80;1504.00;2549.55;0.11;27.30;0.16
0.080;2500.00;0.00;3.08;42.84;2973.00;2005.40;1504.50;2549.50;0.12;27.20;0.22
0.090;2500.00;0.00;3.57;45.71;2970.01;2006.01;1505.01;2549.44;0.14;27.10;0.28
0.100;2500.00;0.00;4.08;48.59;2967.01;2006.61;1505.51;2549.37;0.16;27.00;0.35
0.110;2500.00;0.00;4.63;51.47;2964.01;2007.21;1506.01;2549.28;0.18;26.90;0.41
0.120;2499.99;0.00;5.20;54.35;2961.01;2007.81;1506.51;2549.18;0.20;26.80;0.48
0.130;2499.99;0.00;5.80;57.24;2958.01;2008.41;1507.01;2549.07;0.22;26.70;0.54
0.140;2499.99;0.00;6.43;60.13;2955.01;2009.01;1507.51;2548.94;0.24;26.60;0.60
0.150;2499.98;0.00;7.09;63.02;2952.01;2009.61;1508.01;2548.81;0.27;26.50;0.67
0.160;2499.98;0.01;7.78;65.91;2949.02;2010.22;1508.52;2548.65;0.29;26.40;0.73
0.170;2499.97;0.01;8.50;68.81;2946.02;2010.82;1509.02;2548.49;0.32;26.30;0.80
0.180;2499.96;0.01;9.24;71.71;2943.02;2011.42;1509.52;2548.31;0.35;26.20;0.86
0.190;2499.96;0.01;10.02;74.62;2940.02;2012.02;1510.02;2548.12;0.37;26.10;0.93
0.200;2499.95;0.01;10.82;77.52;2937.02;2012.62;1510.52;2547.91;0.40;26.00;0.99
0.210;2499.93;0.02;11.65;80.43;2934.03;2013.23;1511.03;2547.69;0.43;25.90;1.06
0.220;2499.92;0.02;12.52;83.35;2931.03;2013.83;1511.53;2547.46;0.47;25.80;1.13
0.230;2499.91;0.02;13.41;86.26;2928.03;2014.43;1512.03;2547.22;0.50;25.70;1.19
0.240;2499.89;0.03;14.33;89.18;2925.03;2015.03;1512.53;2546.96;0.53;25.60;1.26
0.250;2499.87;0.03;15.28;92.10;2922.04;2015.64;1513.04;2546.69;0.57;25.50;1.32
0.260;2499.85;0.03;16.26;95.03;2919.04;2016.24;1513.54;2546.40;0.61;25.40;1.39
0.270;2499.83;0.04;17.27;97.95;2916.04;2016.84;1514.04;2546.10;0.64;25.30;1.46
0.280;2499.81;0.05;18.31;100.88;2913.04;2017.44;1514.54;2545.79;0.68;25.20;1.52
0.290;2499.78;0.05;19.37;103.81;2910.05;2018.05;1515.05;2545.46;0.72;25.10;1.59
0.300;2499.76;0.06;20.47;106.74;2907.05;2018.65;1515.55;2545.12;0.77;25.00;1.66
0.310;2499.73;0.07;21.59;109.68;2904.05;2019.25;1516.05;2544.77;0.81;24.90;1.72
0.320;2499.69;0.08;22.75;112.62;2901.06;2019.86;1516.56;2544.40;0.85;24.80;1.79
0.330;2499.66;0.09;23.93;115.56;2898.06;2020.46;1517.06;2544.02;0.90;24.70;1.86
0.340;2499.62;0.10;25.15;118.50;2895.06;2021.06;1517.56;2543.63;0.94;24.60;1.93
0.350;2499.58;0.11;26.39;121.44;2892.07;2021.67;1518.07;2543.22;0.99;24.50;2.00
0.360;2499.53;0.12;27.66;124.39;2889.07;2022.27;1518.57;2542.80;1.04;24.40;2.07
0.370;2499.49;0.13;28.97;127.34;2886.07;2022.87;1519.07;2542.37;1.09;24.30;2.13
0.380;2499.44;0.15;30.30;130.29;2883.08;2023.48;1519.58;2541.92;1.14;24.20;2.20
0.390;2499.38;0.16;31.66;133.24;2880.08;2024.08;1520.08;2541.46;1.19;24.10;2.27
0.400;2499.33;0.18;33.05;136.19;2877.09;2024.69;1520.59;2540.98;1.24;24.00;2.34
0.410;2499.27;0.19;34.47;139.14;2874.09;2025.29;1521.09;2540.49;1.30;23.90;2.41
0.420;2499.20;0.21;35.92;142.10;2871.09;2025.89;1521.59;2539.99;1.35;23.80;2.48
0.430;2499.14;0.23;37.40;145.06;2868.10;2026.50;1522.10;2539.47;1.41;23.70;2.56
0.440;2499.06;0.25;38.90;148.02;2865.10;2027.10;1522.60;2538.94;1.47;23.60;2.63
0.450;2498.99;0.27;40.44;150.98;2862.11;2027.71;1523.11;2538.40;1.53;23.50;2.70
0.460;2498.91;0.30;42.01;153.94;2859.11;2028.31;1523.61;2537.84;1.59;23.40;2.77
0.470;2498.83;0.32;43.60;156.90;2856.12;2028.92;1524.12;2537.27;1.65;23.30;2.84
0.480;2498.74;0.35;45.23;159.87;2853.12;2029.52;1524.62;2536.69;1.71;23.20;2.91
0.490;2498.65;0.38;46.88;162.83;2850.13;2030.13;1525.13;2536.09;1.78;23.10;2.99
0.500;2498.55;0.40;48.57;165.80;2847.13;2030.73;1525.63;2535.48;1.84;23.00;3.06
0.510;2498.45;0.43;50.28;168.76;2844.14;2031.34;1526.14;2534.85;1.91;22.90;3.13
0.520;2498.35;0.47;52.03;171.73;2841.14;2031.94;1526.64;2534.21;1.97;22.80;3.21
0.530;2498.24;0.50;53.80;174.70;2838.15;2032.55;1527.15;2533.55;2.04;22.70;3.28
0.540;2498.12;0.54;55.60;177.67;2835.15;2033.15;1527.65;2532.89;2.11;22.60;3.36
0.550;2498.00;0.57;57.43;180.64;2832.16;2033.76;1528.16;2532.20;2.18;22.50;3.43
0.560;2497.88;0.61;59.30;183.61;2829.17;2034.37;1528.67;2531.51;2.25;22.40;3.51
0.570;2497.75;0.66;61.19;186.59;2826.17;2034.97;1529.17;2530.80;2.33;22.30;3.59
0.580;2497.61;0.70;63.11;189.56;2823.18;2035.58;1529.68;2530.08;2.40;22.20;3.66
0.590;2497.47;0.74;65.06;192.53;2820.18;2036.18;1530.18;2529.34;2.48;22.10;3.74
0.600;2497.32;0.79;67.03;195.51;2817.19;2036.79;1530.69;2528.59;2.55;22.00;3.82
0.610;2497.17;0.84;69.04;198.48;2814.20;2037.40;1531.20;2527.82;2.63;21.90;3.89
0.620;2497.01;0.89;71.08;201.46;2811.20;2038.00;1531.70;2527.04;2.71;21.80;3.97
0.630;2496.85;0.95;73.15;204.43;2808.21;2038.61;1532.21;2526.25;2.79;21.70;4.05
0.640;2496.68;1.01;75.24;207.41;2805.21;2039.21;1532.71;2525.44;2.87;21.60;4.13
0.650;2496.50;1.06;77.37;210.38;2802.22;2039.82;1533.22;2524.62;2.95;21.50;4.21
0.660;2496.32;1.13;79.52;213.36;2799.23;2040.43;1533.73;2523.79;3.04;21.40;4.29
0.670;2496.13;1.19;81.71;216.33;2796.23;2041.03;1534.23;2522.94;3.12;21.30;4.37
0.680;2495.94;1.26;83.92;219.31;2793.24;2041.64;1534.74;2522.08;3.21;21.20;4.45
0.690;2495.73;1.33;86.16;222.28;2790.25;2042.25;1535.25;2521.20;3.29;21.10;4.53
0.700;2495.53;1.40;88.43;225.26;2787.26;2042.86;1535.76;2520.31;3.38;21.00;4.62
0.710;2495.31;1.47;90.74;228.23;2784.26;2043.46;1536.26;2519.40;3.47;20.90;4.70
0.720;2495.09;1.55;93.07;231.21;2781.27;2044.07;1536.77;2518.48;3.56;20.80;4.78
0.730;2494.86;1.63;95.42;234.18;2778.28;2044.68;1537.28;2517.55;3.65;20.70;4.86
0.740;2494.62;1.72;97.81;237.16;2775.29;2045.28;1537.79;2516.60;3.74;20.60;4.95
0.750;2494.38;1.80;100.23;240.13;2772.29;2045.89;1538.29;2515.64;3.84;20.50;5.03
0.760;2494.13;1.89;102.68;243.10;2769.30;2046.50;1538.80;2514.67;3.93;20.40;5.12
0.770;2493.87;1.99;105.15;246.07;2766.31;2047.11;1539.31;2513.68;4.03;20.30;5.20
0.780;2493.61;2.08;107.66;249.05;2763.32;2047.72;1539.82;2512.68;4.12;20.20;5.29
0.790;2493.33;2.19;110.19;252.02;2760.32;2048.32;1540.32;2511.66;4.22;20.10;5.38
0.800;2493.05;2.29;112.75;254.99;2757.33;2048.93;1540.83;2510.63;4.32;20.00;5.46
0.810;2492.76;2.40;115.34;257.96;2754.34;2049.54;1541.34;2509.58;4.42;19.90;5.55
0.820;2492.47;2.51;117.96;260.93;2751.35;2050.15;1541.85;2508.52;4.52;19.80;5.64
0.830;2492.16;2.62;120.61;263.89;2748.36;2050.76;1542.36;2507.45;4.62;19.70;5.73
0.840;2491.85;2.74;123.29;266.86;2745.37;2051.37;1542.87;2506.36;4.73;19.60;5.82
0.850;2491.53;2.86;125.99;269.82;2742.37;2051.97;1543.37;2505.26;4.83;19.50;5.91
0.860;2491.20;2.99;128.73;272.79;2739.38;2052.58;1543.88;2504.15;4.94;19.40;6.00
0.870;2490.86;3.12;131.49;275.75;2736.39;2053.19;1544.39;2503.02;5.04;19.30;6.09
0.880;2490.51;3.25;134.28;278.71;2733.40;2053.80;1544.90;2501.87;5.15;19.20;6.18
0.890;2490.16;3.39;137.11;281.67;2730.41;2054.41;1545.41;2500.71;5.26;19.10;6.28
0.900;2489.79;3.54;139.95;284.63;2727.42;2055.02;1545.92;2499.54;5.37;19.00;6.37
0.910;2489.42;3.68;142.83;287.59;2724.43;2055.63;1546.43;2498.36;5.48;18.90;6.46
0.920;2489.04;3.83;145.74;290.55;2721.44;2056.24;1546.94;2497.16;5.59;18.80;6.56
0.930;2488.64;3.99;148.67;293.50;2718.45;2056.85;1547.45;2495.94;5.70;18.70;6.65
0.940;2488.24;4.15;151.64;296.45;2715.46;2057.46;1547.96;2494.71;5.81;18.60;6.75
0.950;2487.83;4.32;154.63;299.41;2712.47;2058.07;1548.47;2493.47;5.93;18.50;6.84
0.960;2487.41;4.49;157.65;302.36;2709.48;2058.68;1548.98;2492.21;6.04;18.40;6.94
0.970;2486.98;4.66;160.69;305.30;2706.49;2059.29;1549.49;2490.94;6.16;18.30;7.04
0.980;2486.55;4.84;163.77;308.25;2703.50;2059.89;1550.00;2489.66;6.28;18.20;7.14
0.990;2486.10;5.03;166.87;311.19;2700.51;2060.50;1550.51;2488.36;6.39;18.10;7.24
1.000;2485.64;5.22;170.00;314.13;2697.52;2061.12;1551.02;2487.04;6.51;18.00;7.34
1.010;2485.17;5.42;173.16;317.07;2694.53;2061.73;1551.53;2485.72;6.63;17.90;7.44
1.020;2484.69;5.62;176.35;320.01;2691.54;2062.34;1552.04;2484.38;6.75;17.80;7.54
1.030;2484.20;5.82;179.57;322.95;2688.55;2062.95;1552.55;2483.02;6.88;17.70;7.64
1.040;2483.70;6.03;182.81;325.88;2685.56;2063.56;1553.06;2481.65;7.00;17.60;7.74
1.050;2483.19;6.25;186.08;328.81;2682.57;2064.17;1553.57;2480.27;7.12;17.50;7.84
1.060;2482.67;6.48;189.38;331.74;2679.58;2064.78;1554.08;2478.87;7.25;17.40;7.95
1.070;2482.14;6.70;192.70;334.67;2676.59;2065.39;1554.59;2477.45;7.37;17.30;8.05
1.080;2481.60;6.94;196.06;337.59;2673.60;2066.00;1555.10;2476.03;7.50;17.20;8.15
1.090;2481.05;7.18;199.44;340.51;2670.61;2066.61;1555.61;2474.59;7.63;17.10;8.26
1.100;2480.49;7.43;202.85;343.43;2667.62;2067.22;1556.12;2473.13;7.76;17.00;8.37
1.110;2479.91;7.68;206.28;346.35;2664.63;2067.83;1556.63;2471.66;7.88;16.90;8.47
1.120;2479.33;7.94;209.75;349.26;2661.64;2068.44;1557.14;2470.18;8.01;16.80;8.58
1.130;2478.73;8.21;213.24;352.17;2658.66;2069.06;1557.66;2468.68;8.14;16.70;8.69
1.140;2478.12;8.48;216.75;355.08;2655.67;2069.67;1558.17;2467.17;8.28;16.60;8.80
1.150;2477.51;8.76;220.30;357.98;2652.68;2070.28;1558.68;2465.65;8.41;16.50;8.91
1.160;2476.88;9.04;223.87;360.88;2649.69;2070.89;1559.19;2464.11;8.54;16.40;9.02
1.170;2476.23;9.34;227.47;363.78;2646.70;2071.50;1559.70;2462.55;8.68;16.30;9.13
1.180;2475.58;9.63;231.09;366.68;2643.71;2072.11;1560.21;2460.98;8.81;16.20;9.24
1.190;2474.91;9.94;234.75;369.57;2640.73;2072.73;1560.73;2459.40;8.95;16.10;9.35
1.200;2474.24;10.25;238.42;372.46;2637.74;2073.34;1561.24;2457.80;9.08;16.00;9.46
1.210;2473.55;10.57;242.13;375.34;2634.75;2073.95;1561.75;2456.19;9.22;15.90;9.58
1.220;2472.85;10.90;245.86;378.23;2631.76;2074.56;1562.26;2454.57;9.36;15.80;9.69
1.230;2472.13;11.24;249.62;381.11;2628.78;2075.17;1562.77;2452.93;9.50;15.70;9.81
1.240;2471.41;11.58;253.40;383.98;2625.79;2075.79;1563.29;2451.28;9.64;15.60;9.92
1.250;2470.67;11.93;257.21;386.85;2622.80;2076.40;1563.80;2449.61;9.78;15.50;10.04
1.260;2469.92;12.29;261.05;389.72;2619.81;2077.01;1564.31;2447.93;9.92;15.40;10.16
1.270;2469.16;12.65;264.91;392.59;2616.83;2077.63;1564.83;2446.23;10.06;15.30;10.27
1.280;2468.38;13.03;268.80;395.45;2613.84;2078.24;1565.34;2444.52;10.20;15.20;10.39
1.290;2467.59;13.41;272.72;398.31;2610.85;2078.85;1565.85;2442.80;10.35;15.10;10.51
1.300;2466.79;13.80;276.66;401.16;2607.86;2079.46;1566.36;2441.06;10.49;15.00;10.63
1.310;2465.98;14.20;280.62;404.01;2604.88;2080.08;1566.88;2439.31;10.64;14.90;10.75
1.320;2465.15;14.60;284.62;406.86;2601.89;2080.69;1567.39;2437.54;10.78;14.80;10.87
1.330;2464.31;15.02;288.63;409.70;2598.90;2081.30;1567.90;2435.76;10.93;14.70;11.00
1.340;2463.46;15.44;292.68;412.54;2595.92;2081.92;1568.42;2433.97;11.07;14.60;11.12
1.350;2462.59;15.87;296.75;415.37;2592.93;2082.53;1568.93;2432.16;11.22;14.50;11.24
1.360;2461.71;16.31;300.84;418.20;2589.95;2083.15;1569.45;2430.33;11.37;14.40;11.37
1.370;2460.82;16.76;304.96;421.03;2586.96;2083.76;1569.96;2428.50;11.52;14.30;11.49
1.380;2459.91;17.22;309.10;423.85;2583.97;2084.37;1570.47;2426.64;11.67;14.20;11.62
1.390;2458.99;17.69;313.27;426.67;2580.99;2084.99;1570.99;2424.78;11.82;14.10;11.74
1.400;2458.06;18.17;317.47;429.48;2578.00;2085.60;1571.50;2422.90;11.97;14.00;11.87
1.410;2457.11;18.66;321.68;432.29;2575.02;2086.22;1572.02;2421.01;12.12;13.90;12.00
1.420;2456.15;19.15;325.93;435.10;2572.03;2086.83;1572.53;2419.10;12.27;13.80;12.13
1.430;2455.18;19.66;330.20;437.90;2569.04;2087.44;1573.04;2417.18;12.42;13.70;12.26
1.440;2454.19;20.17;334.49;440.69;2566.06;2088.06;1573.56;2415.24;12.57;13.60;12.39
1.450;2453.18;20.70;338.80;443.48;2563.07;2088.67;1574.07;2413.29;12.73;13.50;12.52
1.460;2452.17;21.23;343.14;446.27;2560.09;2089.29;1574.59;2411.32;12.88;13.40;12.65
1.470;2451.14;21.78;347.51;449.05;2557.10;2089.90;1575.10;2409.35;13.04;13.30;12.78
1.480;2450.09;22.33;351.90;451.83;2554.12;2090.52;1575.62;2407.35;13.19;13.20;12.92
1.490;2449.03;22.90;356.31;454.60;2551.13;2091.13;1576.13;2405.35;13.35;13.10;13.05
1.500;2447.96;23.48;360.75;457.37;2548.15;2091.75;1576.65;2403.33;13.50;13.00;13.18
1.510;2446.87;24.06;365.21;460.13;2545.16;2092.36;1577.16;2401.29;13.66;12.90;13.32
1.520;2445.76;24.66;369.69;462.89;2542.18;2092.98;1577.68;2399.24;13.82;12.80;13.46
1.530;2444.64;25.27;374.20;465.64;2539.19;2093.59;1578.19;2397.18;13.97;12.70;13.59
1.540;2443.51;25.89;378.73;468.39;2536.21;2094.21;1578.71;2395.10;14.13;12.60;13.73
1.550;2442.36;26.52;383.29;471.13;2533.22;2094.82;1579.22;2393.01;14.29;12.50;13.87
1.560;2441.20;27.16;387.86;473.87;2530.24;2095.44;1579.74;2390.90;14.45;12.40;14.01
1.570;2440.02;27.81;392.46;476.60;2527.26;2096.06;1580.26;2388.79;14.61;12.30;14.15
1.580;2438.83;28.47;397.09;479.32;2524.27;2096.67;1580.77;2386.65;14.77;12.20;14.29
1.590;2437.62;29.15;401.73;482.05;2521.29;2097.29;1581.29;2384.50;14.93;12.10;14.43
1.600;2436.40;29.84;406.40;484.76;2518.30;2097.90;1581.80;2382.34;15.09;12.00;14.57
1.610;2435.16;30.53;411.09;487.47;2515.32;2098.52;1582.32;2380.17;15.25;11.90;14.71
1.620;2433.91;31.24;415.81;490.18;2512.34;2099.14;1582.84;2377.98;15.41;11.80;14.86
1.630;2432.64;31.97;420.54;492.88;2509.35;2099.75;1583.35;2375.77;15.57;11.70;15.00
1.640;2431.35;32.70;425.30;495.57;2506.37;2100.37;1583.87;2373.55;15.73;11.60;15.15
1.650;2430.05;33.45;430.08;498.26;2503.39;2100.99;1584.39;2371.32;15.90;11.50;15.29
1.660;2428.74;34.21;434.88;500.94;2500.40;2101.60;1584.90;2369.08;16.06;11.40;15.44
1.670;2427.41;34.98;439.70;503.62;2497.42;2102.22;1585.42;2366.81;16.22;11.30;15.59
1.680;2426.06;35.76;444.55;506.29;2494.44;2102.84;1585.94;2364.54;16.38;11.20;15.73
1.690;2424.70;36.56;449.42;508.95;2491.45;2103.45;1586.45;2362.25;16.55;11.10;15.88
1.700;2423.32;37.37;454.30;511.61;2488.47;2104.07;1586.97;2359.95;16.71;11.00;16.03
1.710;2421.92;38.19;459.21;514.27;2485.49;2104.69;1587.49;2357.63;16.88;10.90;16.18
1.720;2420.51;39.03;464.14;516.91;2482.51;2105.31;1588.01;2355.30;17.04;10.80;16.33
1.730;2419.09;39.88;469.09;519.56;2479.52;2105.92;1588.52;2352.96;17.20;10.70;16.48
1.740;2417.64;40.74;474.06;522.19;2476.54;2106.54;1589.04;2350.60;17.37;10.60;16.64
1.750;2416.18;41.62;479.06;524.82;2473.56;2107.16;1589.56;2348.23;17.53;10.50;16.79
1.760;2414.71;42.51;484.07;527.44;2470.58;2107.78;1590.08;2345.84;17.70;10.40;16.94
1.770;2413.22;43.41;489.10;530.06;2467.59;2108.39;1590.59;2343.44;17.87;10.30;17.10
1.780;2411.71;44.33;494.16;532.67;2464.61;2109.01;1591.11;2341.02;18.03;10.20;17.25
1.790;2410.19;45.26;499.23;535.28;2461.63;2109.63;1591.63;2338.59;18.20;10.10;17.41
1.800;2408.65;46.20;504.32;537.87;2458.65;2110.25;1592.15;2336.15;18.36;10.00;17.57
1.810;2407.09;47.16;509.44;540.47;2455.67;2110.87;1592.67;2333.70;18.53;9.90;17.73
1.820;2405.52;48.14;514.57;543.05;2452.68;2111.48;1593.18;2331.22;18.70;9.80;17.88
1.830;2403.93;49.13;519.72;545.63;2449.70;2112.10;1593.70;2328.74;18.86;9.70;18.04
1.840;2402.32;50.13;524.89;548.20;2446.72;2112.72;1594.22;2326.24;19.03;9.60;18.20
1.850;2400.70;51.15;530.08;550.77;2443.74;2113.34;1594.74;2323.73;19.20;9.50;18.36
1.860;2399.06;52.18;535.29;553.33;2440.76;2113.96;1595.26;2321.20;19.36;9.40;18.52
1.870;2397.40;53.23;540.52;555.88;2437.78;2114.58;1595.78;2318.66;19.53;9.30;18.69
1.880;2395.72;54.29;545.77;558.43;2434.80;2115.20;1596.30;2316.10;19.70;9.20;18.85
1.890;2394.03;55.37;551.04;560.97;2431.81;2115.81;1596.81;2313.53;19.87;9.10;19.01
1.900;2392.33;56.47;556.32;563.50;2428.83;2116.43;1597.33;2310.95;20.03;9.00;19.18
1.910;2390.60;57.58;561.62;566.03;2425.85;2117.05;1597.85;2308.35;20.20;8.90;19.34
1.920;2388.86;58.70;566.95;568.55;2422.87;2117.67;1598.37;2305.74;20.37;8.80;19.51
1.930;2387.10;59.84;572.28;571.06;2419.89;2118.29;1598.89;2303.12;20.54;8.70;19.68
1.940;2385.33;61.00;577.64;573.56;2416.91;2118.91;1599.41;2300.48;20.70;8.60;19.84
1.950;2383.53;62.17;583.01;576.06;2413.93;2119.53;1599.93;2297.83;20.87;8.50;20.01
1.960;2381.72;63.36;588.41;578.55;2410.95;2120.15;1600.45;2295.16;21.04;8.40;20.18
1.970;2379.90;64.57;593.81;581.04;2407.97;2120.77;1600.97;2292.48;21.21;8.30;20.35
1.980;2378.05;65.79;599.24;583.52;2404.99;2121.39;1601.49;2289.78;21.37;8.20;20.52
1.990;2376.19;67.03;604.68;585.99;2402.01;2122.01;1602.01;2287.07;21.54;8.10;20.69
2.000;2374.31;68.29;610.14;588.45;2399.03;2122.63;1602.53;2284.35;21.71;8.00;20.86
2.010;2372.41;69.56;615.62;590.91;2396.05;2123.25;1603.05;2281.61;21.88;7.90;21.03
2.020;2370.50;70.85;621.11;593.35;2393.07;2123.87;1603.57;2278.86;22.04;7.80;21.21
2.030;2368.57;72.16;626.62;595.80;2390.09;2124.49;1604.09;2276.10;22.21;7.70;21.38
2.040;2366.62;73.48;632.15;598.23;2387.11;2125.11;1604.61;2273.32;22.38;7.60;21.56
2.050;2364.65;74.83;637.69;600.66;2384.13;2125.73;1605.13;2270.52;22.55;7.50;21.73
2.060;2362.67;76.19;643.24;603.08;2381.15;2126.35;1605.65;2267.72;22.71;7.40;21.91
2.070;2360.67;77.56;648.82;605.49;2378.17;2126.97;1606.17;2264.90;22.88;7.30;22.08
2.080;2358.65;78.96;654.40;607.89;2375.19;2127.59;1606.69;2262.06;23.05;7.20;22.26
2.090;2356.61;80.37;660.01;610.29;2372.22;2128.22;1607.22;2259.21;23.21;7.10;22.44
2.100;2354.56;81.80;665.62;612.68;2369.24;2128.84;1607.74;2256.35;23.38;7.00;22.62
2.110;2352.49;83.25;671.26;615.06;2366.26;2129.46;1608.26;2253.47;23.55;6.90;22.80
2.120;2350.40;84.72;676.91;617.44;2363.28;2130.08;1608.78;2250.58;23.71;6.80;22.98
2.130;2348.29;86.21;682.57;619.81;2360.30;2130.70;1609.30;2247.68;23.88;6.70;23.16
2.140;2346.16;87.71;688.24;622.17;2357.32;2131.32;1609.82;2244.76;24.05;6.60;23.34
2.150;2344.02;89.24;693.93;624.52;2354.34;2131.94;1610.34;2241.82;24.21;6.50;23.53
2.160;2341.86;90.78;699.64;626.86;2351.37;2132.57;1610.87;2238.88;24.38;6.40;23.71
2.170;2339.68;92.34;705.36;629.20;2348.39;2133.19;1611.39;2235.91;24.54;6.30;23.89
2.180;2337.49;93.92;711.09;631.53;2345.41;2133.81;1611.91;2232.94;24.71;6.20;24.08
2.190;2335.27;95.53;716.83;633.85;2342.43;2134.43;1612.43;2229.95;24.87;6.10;24.26
2.200;2333.04;97.15;722.59;636.16;2339.45;2135.05;1612.95;2226.95;25.04;6.00;24.45
2.210;2330.79;98.79;728.36;638.47;2336.48;2135.68;1613.48;2223.93;25.20;5.90;24.64
2.220;2328.52;100.45;734.15;640.76;2333.50;2136.30;1614.00;2220.90;25.37;5.80;24.83
2.230;2326.24;102.12;739.94;643.05;2330.52;2136.92;1614.52;2217.85;25.53;5.70;25.01
2.240;2323.93;103.82;745.75;645.33;2327.54;2137.54;1615.04;2214.79;25.70;5.60;25.20
2.250;2321.61;105.54;751.57;647.61;2324.57;2138.17;1615.57;2211.72;25.86;5.50;25.39
2.260;2319.27;107.28;757.41;649.87;2321.59;2138.79;1616.09;2208.63;26.02;5.40;25.59
2.270;2316.91;109.04;763.25;652.13;2318.61;2139.41;1616.61;2205.53;26.19;5.30;25.78
2.280;2314.54;110.83;769.11;654.38;2315.63;2140.03;1617.13;2202.41;26.35;5.20;25.97
2.290;2312.15;112.63;774.98;656.62;2312.66;2140.66;1617.66;2199.28;26.51;5.10;26.16
2.300;2309.73;114.45;780.85;658.85;2309.68;2141.28;1618.18;2196.14;26.67;5.00;26.36
2.310;2307.31;116.29;786.75;661.08;2306.70;2141.90;1618.70;2192.98;26.84;4.90;26.55
2.320;2304.86;118.16;792.65;663.30;2303.73;2142.53;1619.23;2189.80;27.00;4.80;26.75
2.330;2302.39;120.05;798.56;665.50;2300.75;2143.15;1619.75;2186.62;27.16;4.70;26.94
2.340;2299.91;121.95;804.48;667.70;2297.77;2143.77;1620.27;2183.42;27.32;4.60;27.14
2.350;2297.41;123.88;810.41;669.90;2294.80;2144.40;1620.80;2180.20;27.48;4.50;27.34
2.360;2294.89;125.83;816.35;672.08;2291.82;2145.02;1621.32;2176.97;27.64;4.40;27.54
2.370;2292.35;127.81;822.31;674.26;2288.84;2145.64;1621.84;2173.73;27.80;4.30;27.73
2.380;2289.80;129.80;828.27;676.42;2285.87;2146.27;1622.37;2170.47;27.96;4.20;27.93
2.390;2287.22;131.82;834.24;678.58;2282.89;2146.89;1622.89;2167.20;28.12;4.10;28.13
2.400;2284.63;133.85;840.22;680.73;2279.92;2147.52;1623.42;2163.91;28.28;4.00;28.34
2.410;2282.02;135.92;846.21;682.87;2276.94;2148.14;1623.94;2160.61;28.44;3.90;28.54
2.420;2279.40;138.00;852.21;685.01;2273.96;2148.76;1624.46;2157.30;28.59;3.80;28.74
2.430;2276.75;140.11;858.21;687.13;2270.99;2149.39;1624.99;2153.97;28.75;3.70;28.94
2.440;2274.09;142.23;864.23;689.25;2268.01;2150.01;1625.51;2150.63;28.91;3.60;29.15
